标题,房屋类型,面积,方向,层数,建造时间,社区,区,地址,总价,每平方价格,每平方价格带单位,总价带单位,建筑年龄,价格差异
自住精装 好楼层 奥兰花园 康平路一小 96中,3室2厅2卫,158.51,南北,低层(共30层),2010.0,奥兰花园,郑东新区,康宁街福禄路16号,329.0,20756,20756元/m²,329.0万元,15.0,0.0033559999999397405
新出品质洋房 温哥华山庄 多层洋房 带电梯 临熙地港送储藏室,3室2厅2卫,140.23,南北,高层(共8层),2009.0,温哥华山庄(北区),郑东新区,农业东路农业东路9号,315.0,22464,22464元/m²,315.0万元,16.0,0.012671999999952277
龙子湖124平大三室！必看 ！停车方便广电天韵小区中间位置,3室2厅2卫,124.97,南北,高层(共27层),2018.0,广电天韵,郑东新区,龙子湖晨晖路1号,249.0,19925,19925元/m²,249.0万元,7.0,0.00272499999999809
支持 郑东商业中心 新地标 万象汇 大平层 随时接送看房,2室2厅2卫,120.0,南,,2024.0,华润置地瑞玺·幸福里,郑东新区,祥盛街金水东路与东风南路交汇处,190.0,15834,15834元/m²,190.0万元,1.0,0.008000000000009777
奥兰花园 临地铁 医疗配套成熟 交通便捷 高楼层视野无遮挡,2室1厅1卫,88.89,南,高层(共31层),2010.0,奥兰花园,郑东新区,康宁街福禄路16号,143.0,16088,16088元/m²,143.0万元,15.0,0.00623200000001134
奥兰花园 商品房 医疗配套成熟 临地铁 有电梯 交通便利,2室2厅1卫,86.1,西北,低层(共33层),2010.0,奥兰花园,郑东新区,康宁街福禄路16号,119.0,13822,13822元/m²,119.0万元,15.0,0.007419999999996207
郑东新区 锦雍水之郡 现房 即住河大 12XXX起,3室2厅2卫,129.49,南,,2022.0,锦雍水之郡,郑东新区,郑东新区周边北三环与德惠街交汇处西北角,173.0,13361,13361元/m²,173.0万元,3.0,0.011589000000014948
绿城百合 方正三居室 三楼有车位 看房方便,3室2厅0卫,142.54,南北,共5层,2007.0,绿城百合公寓(云霞苑),郑东新区,绿城百合地德街1号,320.0,22450,22450元/m²,320.0万元,18.0,0.002299999999991087
广电天韵 中间楼层 南北通透 边户 业主急售 价格好谈,3室2厅2卫,124.0,南,高层(共27层),2017.0,广电天韵,郑东新区,龙子湖晨晖路1号,249.0,20081,20081元/m²,249.0万元,8.0,0.004400000000003956
龙子湖 商品房 满五 近地铁 小区新 精装可拎包入住,3室2厅1卫,94.66,南,低层(共26层),2015.0,永威五月花城,郑东新区,"龙子湖姚桥路,近明理路",159.0,16797,16797元/m²,159.0万元,10.0,0.0004020000000082291
品质好房！海马公园五期 精装修 2021年交付 价可谈,2室2厅1卫,89.53,南,高层(共23层),2021.0,海马公园(D区),郑东新区,"新东站片普惠路,近商都路",182.0,20329,20329元/m²,182.0万元,4.0,0.0055370000000039
（立省40万） 旁，团购价一万二起，洋房国企开发,4室2厅2卫,140.0,南,,2025.0,信达·时代国著,郑东新区,鸿园片区鸿宝南路与姚店堤西路东,200.0,14286,14286元/m²,200.0万元,0.0,0.003999999999990678
一楼带花园和地下室 业主急售 随时看房,4室2厅2卫,157.0,南北,共5层,2006.0,第一大街舒水湾,郑东新区,CBD天赋路17号,380.0,24204,24204元/m²,380.0万元,19.0,0.0027999999999792635
急售好房！中间楼层 送10平方入户花园 海马公园,3室2厅2卫,132.0,南北,中层(共32层),2015.0,海马公园(A区),郑东新区,新东站片普惠路,240.0,18182,18182元/m²,240.0万元,10.0,0.0023999999999944066
海马公园(A区) 带电梯 近地铁 商业配套齐全 医疗配套成熟,3室2厅1卫,113.0,南,高层(共33层),2013.0,海马公园(A区),郑东新区,新东站片普惠路,229.0,20266,20266元/m²,229.0万元,12.0,0.005799999999993588
经开老城区 高品质红盘 全明户型一梯一户,3室2厅2卫,113.0,南,,2026.0,万祥紫庐,管城,航海东路经开第四大街与经南六路交会处,175.0,15487,15487元/m²,175.0万元,-1.0,0.0030999999999892225
海马公园(A区) 大两居 近医院 电梯房 装修好 临地铁,2室2厅1卫,91.22,南,高层(共32层),2013.0,海马公园(A区),郑东新区,新东站片普惠路,158.0,17321,17321元/m²,158.0万元,12.0,0.002161999999998443
十万火急 有车位 还有地下室 高楼层视野好,3室2厅2卫,116.0,南北,高层(共15层),2020.0,万林府2号院,郑东新区,"杨金片区杨金路,近东三环",120.0,10345,10345元/m²,120.0万元,5.0,0.001999999999995339
老经开改善天花板一梯一户南北通透90以上超高得房率私聊有优,3室2厅2卫,128.0,南,,2026.0,万祥紫庐,管城,航海东路经开第四大街与经南六路交会处,198.0,15469,15469元/m²,198.0万元,-1.0,0.003199999999992542
产权清晰 电梯房 满五 精装可拎包入住 近医院 南北通透,3室2厅1卫,126.66,南北,高层(共27层),2012.0,晖达新领地(西区),郑东新区,新东站片正光路,165.0,13028,13028元/m²,165.0万元,13.0,0.01264799999998445
永威五月花城 出行方便 小三房 满五 电梯房 南向采光好,3室2厅1卫,97.51,南,高层(共26层),2014.0,永威五月花城,郑东新区,"龙子湖姚桥路,近明理路",150.0,15384,15384元/m²,150.0万元,11.0,0.009384000000011383
必看 三房 138平 精装 中间楼层 方正通透 诚心出,3室2厅2卫,139.0,南北,中层(共27层),2018.0,广电天韵,郑东新区,龙子湖晨晖路1号,299.0,21511,21511元/m²,299.0万元,7.0,0.002900000000011005
可大谈 带车位中凯铂宫 大四房电梯洋房 大平层 急售 环境好,4室2厅2卫,235.0,南北,共5层,2007.0,中凯铂宫嘉凯城,郑东新区,众意西路天泽街9号,495.0,21064,21064元/m²,495.0万元,18.0,0.004000000000019099
（电梯入户） 北龙湖北1公里 准现房 带入户花园 随时看房,3室2厅2卫,105.0,南,,2024.0,正弘璟云筑,郑东新区,杨金片区金城大道与龙源路交会处向西500米,162.0,15429,15429元/m²,162.0万元,1.0,0.004500000000007276
CBD旁 中州府 交通便利 双卫 有电梯 商圈成熟 临地铁,3室2厅1卫,117.32,南,中层(共18层),2022.0,中州府,郑东新区,"CBD中州大道,近福元路",149.9,12778,12778元/m²,149.9万元,3.0,0.011495999999993955
去上海买房忍痛降价出售3房价格买4房,4室2厅2卫,154.54,南,低层(共15层),2020.0,万林府2号院,郑东新区,"杨金片区杨金路,近东三环",160.0,10354,10354元/m²,160.0万元,5.0,0.010716000000002168
（店长力推）急售！带车位 ！建业天筑 精装好房 满五,2室2厅1卫,86.06,南,中层(共31层),2016.0,建业天筑,郑东新区,康平路康宁街58号,246.0,28585,28585元/m²,246.0万元,9.0,0.0025100000000009004
（内部团购）一万二起，国企开发，一楼带院少量，电话优先,3室2厅2卫,142.0,南,,2024.0,水投常绿壹号院,郑东新区,杨金片区金城大道与马林路交叉口,217.0,15282,15282元/m²,217.0万元,1.0,0.004400000000003956
中州大道福元路 CBD核心 双气双卫朝阳3房全款房有房本,3室2厅2卫,116.81,南,高层(共34层),2022.0,中州府,郑东新区,"CBD中州大道,近福元路",148.0,12671,12671元/m²,148.0万元,3.0,0.009951000000000931
北龙湖南岸 155平 四房 325万,4室2厅2卫,153.64,南北,低层(共26层),2022.0,宏光揽境,郑东新区,"绿城百合春雷路,近龙湖中环西路",325.0,21154,21154元/m²,325.0万元,3.0,0.010055999999963205
双卫格局 医疗配套成熟 产权清晰 购物方便 精装修 满五,3室2厅2卫,134.75,南北,中层(共32层),2013.0,雅宝东方国际花园,郑东新区,祥盛街祥盛街60号,265.0,19667,19667元/m²,265.0万元,12.0,0.012825000000020736
阿卡迪亚 一楼带50平院子 业主急售 看房方便,4室2厅2卫,152.0,南北,低层(共9层),2007.0,中义阿卡迪亚,郑东新区,金水东路黄河东路10号,420.0,27632,27632元/m²,420.0万元,18.0,0.006399999999985084
平煤内购房急转！14000万科品质精装现房下沉会所！ 即住,4室2厅2卫,143.0,南,,2023.0,万科·未来时光,郑东新区,郑东新区周边东三环与杨金路交汇处西500米路北,222.0,15525,15525元/m²,222.0万元,2.0,0.007499999999993179
正商东方港湾 正南朝向 大两房 近地铁 交通便捷 商品房,2室2厅1卫,87.0,南,中层(共32层),2011.0,正商东方港湾,郑东新区,新东站片康平路9号,139.0,15978,15978元/m²,139.0万元,14.0,0.008600000000001273
高铁东站旁 正商东方港湾 朝南两房 采光超好 价格低诚心卖,2室2厅1卫,86.27,南,低层(共27层),2010.0,正商东方港湾,郑东新区,新东站片康平路9号,121.0,14026,14026元/m²,121.0万元,15.0,0.0023020000000002483
秀水苑！ 超低密度！单价1万买洋房！有车位！业主急卖！,3室2厅2卫,136.0,南,中层(共6层),2013.0,秀水苑,郑东新区,鸿园片区鸿苑路45号,155.0,11398,11398元/m²,155.0万元,12.0,0.01279999999999859
"（现房精装）（内部关系）立省30 ,北龙湖一梯一户,入户花园",4室2厅2卫,141.34,南,,2023.0,龙居华府(新房),郑东新区,郑东新区周边龙沄路与鸿宝路交汇处东南角,256.0,18113,18113元/m²,256.0万元,2.0,0.009141999999997097
老东区 熙地港旁 联盟新城 一楼带大花园,4室2厅2卫,208.84,南北,共5层,2007.0,联盟新城一期,郑东新区,农业东路农业东路88号,499.8,23933,23933元/m²,499.8万元,18.0,0.016771999999946274
急售！税务局团购房 送30平大露台 一梯一户 大4房价可谈,4室2厅2卫,156.0,南,低层(共31层),2016.0,丹桂苑,郑东新区,新东站片康庄路,84.0,5385,5385元/m²,84.0万元,9.0,0.006000000000000227
满二 医疗配套成熟 商业配套齐全 交通便捷 朝南 商品住宅,3室2厅2卫,134.56,南,低层(共32层),2016.0,海马公园(A区),郑东新区,新东站片普惠路,245.0,18208,18208元/m²,245.0万元,9.0,0.006847999999990861
北龙湖北，纯改善小高层，现房急售,4室2厅3卫,147.0,南北,,2022.0,东方宇亿万林府,郑东新区,杨金片区东三环与杨金路交汇处向西800米路南,257.0,17483,17483元/m²,257.0万元,3.0,9.999999997489795e-05
预购星联湾 看了此房再决定103万 随时看房龙华,3室2厅2卫,133.0,南,高层(共26层),2018.0,星联湾,郑东新区,郑东新区周边象辰路88号,103.0,7745,7745元/m²,103.0万元,7.0,0.008499999999997954
房源推广东悦城一号院,3室2厅2卫,115.29,南北,高层(共34层),2022.0,东悦城一号院,郑东新区,"郑东新区周边前程路,近复兴路",88.0,7633,7633元/m²,88.0万元,3.0,0.0008570000000105438
中义阿卡迪亚 朝南 精装好房 出行方便 产权清晰 满五,3室2厅2卫,133.0,南,高层(共6层),2007.0,中义阿卡迪亚,郑东新区,金水东路黄河东路10号,300.0,22557,22557元/m²,300.0万元,18.0,0.008100000000013097
三环内经开主城 南北通透 改善四居 落地窗临地铁 价格可谈,4室2厅2卫,128.0,南,,2024.0,金茂越秀未来府,经开区,远大理想城经开区第五大街与经南六路交汇处,205.0,16016,16016元/m²,205.0万元,1.0,0.004799999999988813
广电天韵 南北通透三房 中间楼层 价格可谈 随时看房,3室2厅2卫,124.0,南北,中层(共27层),2017.0,广电天韵,郑东新区,龙子湖晨晖路1号,252.0,20323,20323元/m²,252.0万元,8.0,0.005200000000002092
必看好房 一口价 有钥匙 急急急,2室2厅1卫,82.0,南北,中层(共6层),2005.0,老街绿地郑东新苑一期,郑东新区,绿地老街天赋路12-20号,141.0,17196,17196元/m²,141.0万元,20.0,0.0072000000000116415
金二环 国企现房 中州大道旁 全明户型 专车接送欢迎来电咨询,3室2厅2卫,132.5,南,,2018.0,鼎盛阳光城,管城,管南片中州大道航海路口南800米,154.0,11623,11623元/m²,154.0万元,7.0,0.004750000000001364
阿卡迪亚 临河观景好房 附近东外 满五 看房随时,3室2厅2卫,133.09,南北,高层(共6层),2007.0,中义阿卡迪亚,郑东新区,金水东路黄河东路10号,295.0,22166,22166元/m²,295.0万元,18.0,0.007294000000001688
永威大四房业主急售接受砍价砍价小区四房性价比高,4室2厅2卫,156.54,南,低层(共26层),2021.0,永威森林花语,郑东新区,郑东新区周边和风街86号,145.0,9263,9263元/m²,145.0万元,4.0,0.003002000000009275
北龙湖北岸 中海云鼎湖居 精装三房,3室2厅2卫,126.62,南北,低层(共16层),2022.0,中海云鼎湖居,郑东新区,北龙湖龙泽西路72号,337.0,26616,26616元/m²,337.0万元,3.0,0.011792000000014013
金水核心区 三号线四号线双地铁 特价14XXX,2室2厅1卫,87.18,南,,,腾威城,管城,郑汴路郑汴路与英协路交叉口向南300米路东,134.0,15371,15371元/m²,134.0万元,,0.0043780000000026575
广电天韵 两梯两户 大三房 采光好 楼层好 价格可谈,3室2厅2卫,139.0,南北,低层(共27层),2017.0,广电天韵,郑东新区,龙子湖晨晖路1号,279.0,20072,20072元/m²,279.0万元,8.0,0.0008000000000265572
惊喜啊， 运河上郡157平大平层楼下就是河景 随时看房,3室2厅2卫,157.0,南北,低层(共14层),2009.0,运河上郡(南区),郑东新区,天赋路农业东路30号,260.0,16561,16561元/m²,260.0万元,16.0,0.007699999999999818
新东站片 精装好房.业主带车位地下室急售，随时看房,3室2厅1卫,129.2,南北,低层(共27层),2012.0,晖达新领地(西区),郑东新区,新东站片正光路,150.0,11610,11610元/m²,150.0万元,13.0,0.0011999999999829924
榜！南三环刚需必看 实景现房 特价9xxx 随时看房全城接送,3室2厅2卫,124.0,南,,2023.0,富田城九鼎公馆,管城,安徐庄南三环金岱路（郑尉路）交会处,131.0,10565,10565元/m²,131.0万元,2.0,0.006000000000000227
好房 高楼层 随时看房 含车位 碧桂园天琴湾 随时看房,4室2厅2卫,144.0,南北,高层(共30层),2021.0,碧桂园天琴湾,郑东新区,龙子湖明理路,283.0,19653,19653元/m²,283.0万元,4.0,0.003199999999992542
伟业象湖湾 200平 产权清晰 双卫格局 楼层好,5室2厅2卫,200.0,南北,中层(共18层),2013.0,伟业象湖湾,郑东新区,郑东新区周边郑开大道,155.0,7750,7750元/m²,155.0万元,12.0,0.0
北上广深置业4号线地铁口 现房 送车位 随时看房 已经交房,3室2厅2卫,116.0,南,,2023.0,富田城九鼎公馆,管城,安徐庄南三环金岱路（郑尉路）交会处,123.0,10604,10604元/m²,123.0万元,2.0,0.006399999999999295
龙子湖182四室大平层一梯一户！有车位！广电天韵,4室2厅2卫,181.0,南北,低层(共26层),2018.0,广电天韵,郑东新区,龙子湖晨晖路1号,370.0,20442,20442元/m²,370.0万元,7.0,0.0002000000000066393
急售价可谈！ 海马公园五期 2021年交付 中间楼层,3室2厅2卫,137.03,南北,高层(共23层),2021.0,海马公园(D区),郑东新区,"新东站片普惠路,近商都路",360.0,26272,26272元/m²,360.0万元,4.0,0.005216000000018539
榜 必看好房 精装修现房 即住 随时看房地铁口50,3室2厅2卫,122.0,南,,2025.0,敏捷·江山誉,金水,未来路未来路与纬四路交叉口向西100米路北,218.0,17869,17869元/m²,218.0万元,0.0,0.0018000000000029104
绿地四期电梯4房 视野好 送30平地下室,4室2厅2卫,163.64,南,中层(共8层),2018.0,老街绿地郑东新苑四期,郑东新区,绿地老街天赋路30号,370.0,22611,22611元/m²,370.0万元,7.0,0.006403999999974985
